51.0 APEX_CODE,FINEST;APEX_PROFILING,NONE;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,INFO;VALIDATION,DEBUG;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
17:40:38.0 (178641)|USER_INFO|[EXTERNAL]|00530000004xdSD|troy.center@mcg.com.mcguat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:40:38.0 (204028)|EXECUTION_STARTED
17:40:38.0 (210946)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
17:40:38.0 (231925)|CODE_UNIT_STARTED|[EXTERNAL]|01q4X0000006Aiu|Case_CalculateBusinessHoursAges on Case trigger event BeforeUpdate|__sfdc_trigger/Case_CalculateBusinessHoursAges
17:40:38.0 (257651)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:40:38.0 (359225)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:40:38.0 (1807176)|HEAP_ALLOCATE|[93]|Bytes:3
17:40:38.0 (1842190)|HEAP_ALLOCATE|[98]|Bytes:152
17:40:38.0 (1859140)|HEAP_ALLOCATE|[415]|Bytes:408
17:40:38.0 (1870915)|HEAP_ALLOCATE|[428]|Bytes:408
17:40:38.0 (1879848)|HEAP_ALLOCATE|[536]|Bytes:48
17:40:38.0 (1904807)|HEAP_ALLOCATE|[247]|Bytes:6
17:40:38.0 (1921336)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:40:38.0 (1926273)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (1931625)|VARIABLE_SCOPE_BEGIN|[1]|this|Case_CalculateBusinessHoursAges|true|false
17:40:38.0 (1985113)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x6c7eb917
17:40:38.0 (2027776)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (2031820)|VARIABLE_SCOPE_BEGIN|[1]|this|Case_CalculateBusinessHoursAges|true|false
17:40:38.0 (2039132)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x6c7eb917
17:40:38.0 (2044351)|STATEMENT_EXECUTE|[1]
17:40:38.0 (2064715)|HEAP_ALLOCATE|[68]|Bytes:5
17:40:38.0 (2082319)|HEAP_ALLOCATE|[74]|Bytes:5
17:40:38.0 (2087251)|HEAP_ALLOCATE|[82]|Bytes:7
17:40:38.0 (2123228)|STATEMENT_EXECUTE|[8]
17:40:38.0 (2124277)|STATEMENT_EXECUTE|[10]
17:40:38.0 (2173094)|HEAP_ALLOCATE|[10]|Bytes:4
17:40:38.0 (2217066)|VARIABLE_SCOPE_BEGIN|[10]|stopStatusSet|Set<String>|true|false
17:40:38.0 (2239453)|VARIABLE_ASSIGNMENT|[10]|stopStatusSet|[]|0x61d45591
17:40:38.0 (2244094)|HEAP_ALLOCATE|[11]|Bytes:31
17:40:38.0 (2258726)|HEAP_ALLOCATE|[11]|Bytes:4
17:40:38.0 (3313201)|SOQL_EXECUTE_BEGIN|[11]|Aggregations:0|SELECT Name FROM Stop_Status__c
17:40:38.0 (7568731)|SOQL_EXECUTE_END|[11]|Rows:3
17:40:38.0 (7591439)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
17:40:38.0 (7750550)|HEAP_ALLOCATE|[11]|Bytes:54
17:40:38.0 (7756416)|HEAP_ALLOCATE|[11]|Bytes:8
17:40:38.0 (7767133)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
17:40:38.0 (7769892)|STATEMENT_EXECUTE|[7]
17:40:38.0 (7777872)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
17:40:38.0 (7782703)|HEAP_ALLOCATE|[11]|Bytes:28
17:40:38.0 (7843106)|HEAP_ALLOCATE|[11]|Bytes:16
17:40:38.0 (7851597)|HEAP_ALLOCATE|[11]|Bytes:8
17:40:38.0 (7853526)|HEAP_ALLOCATE|[11]|Bytes:8
17:40:38.0 (7857795)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
17:40:38.0 (7890653)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x7054290e
17:40:38.0 (7894302)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
17:40:38.0 (7915782)|VARIABLE_ASSIGNMENT|[15]|values|[{"Name":"Resolved","Id":"a111B00000O29cqQAB"},{"Name":"Waiting for customer","Id":"a111B00000O29cvQAB"},{"Name":"Monitoring","Id":"a111B00000O29d0QAB"}]|0x102dfcbf
17:40:38.0 (7920219)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
17:40:38.0 (7930237)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT Name FROM Sto (11 more) ..."}|0x43a4c49a
17:40:38.0 (7933966)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
17:40:38.0 (7940106)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|3
17:40:38.0 (7942679)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
17:40:38.0 (7947046)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49997
17:40:38.0 (10925688)|HEAP_ALLOCATE|[11]|Bytes:28
17:40:38.0 (10956024)|METHOD_ENTRY|[11]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (11046468)|METHOD_EXIT|[11]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (11053075)|METHOD_ENTRY|[11]||Database.QueryLocatorIterator.next()
17:40:38.0 (11110220)|METHOD_EXIT|[11]||Database.QueryLocatorIterator.next()
17:40:38.0 (11116401)|VARIABLE_SCOPE_BEGIN|[11]|stopStatus|Stop_Status__c|true|false
17:40:38.0 (11129852)|VARIABLE_ASSIGNMENT|[11]|stopStatus|{"Name":"Resolved","Id":"a111B00000O29cqQAB"}|0x5689a19f
17:40:38.0 (11133974)|STATEMENT_EXECUTE|[11]
17:40:38.0 (11135071)|STATEMENT_EXECUTE|[12]
17:40:38.0 (11213454)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (11220725)|METHOD_ENTRY|[11]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (11231542)|METHOD_EXIT|[11]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (11234237)|METHOD_ENTRY|[11]||Database.QueryLocatorIterator.next()
17:40:38.0 (11258863)|METHOD_EXIT|[11]||Database.QueryLocatorIterator.next()
17:40:38.0 (11261716)|VARIABLE_SCOPE_BEGIN|[11]|stopStatus|Stop_Status__c|true|false
17:40:38.0 (11270044)|VARIABLE_ASSIGNMENT|[11]|stopStatus|{"Name":"Waiting for customer","Id":"a111B00000O29cvQAB"}|0x293e77f5
17:40:38.0 (11273648)|STATEMENT_EXECUTE|[11]
17:40:38.0 (11274567)|STATEMENT_EXECUTE|[12]
17:40:38.0 (11279677)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (11284226)|METHOD_ENTRY|[11]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (11293823)|METHOD_EXIT|[11]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (11296480)|METHOD_ENTRY|[11]||Database.QueryLocatorIterator.next()
17:40:38.0 (11317327)|METHOD_EXIT|[11]||Database.QueryLocatorIterator.next()
17:40:38.0 (11319833)|VARIABLE_SCOPE_BEGIN|[11]|stopStatus|Stop_Status__c|true|false
17:40:38.0 (11326024)|VARIABLE_ASSIGNMENT|[11]|stopStatus|{"Name":"Monitoring","Id":"a111B00000O29d0QAB"}|0x4c5bf65c
17:40:38.0 (11329054)|STATEMENT_EXECUTE|[11]
17:40:38.0 (11329855)|STATEMENT_EXECUTE|[12]
17:40:38.0 (11333593)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (11337522)|METHOD_ENTRY|[11]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (11343496)|METHOD_EXIT|[11]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (11347599)|VARIABLE_ASSIGNMENT|[11]|stopStatus|null|
17:40:38.0 (11363680)|STATEMENT_EXECUTE|[16]
17:40:38.0 (11365599)|HEAP_ALLOCATE|[16]|Bytes:51
17:40:38.0 (11377451)|HEAP_ALLOCATE|[16]|Bytes:4
17:40:38.0 (11740513)|SOQL_EXECUTE_BEGIN|[16]|Aggregations:0|SELECT Id FROM BusinessHours WHERE IsDefault = TRUE
17:40:38.0 (15530810)|SOQL_EXECUTE_END|[16]|Rows:1
17:40:38.0 (15553566)|HEAP_ALLOCATE|[16]|Bytes:8
17:40:38.0 (15577741)|HEAP_ALLOCATE|[16]|Bytes:29
17:40:38.0 (15632003)|HEAP_ALLOCATE|[16]|Bytes:8
17:40:38.0 (15643491)|HEAP_ALLOCATE|[16]|Bytes:39
17:40:38.0 (15685033)|HEAP_ALLOCATE|[16]|Bytes:8
17:40:38.0 (15690889)|VARIABLE_SCOPE_BEGIN|[16]|defaultHours|BusinessHours|true|false
17:40:38.0 (15710405)|VARIABLE_ASSIGNMENT|[16]|defaultHours|{"Id":"01m30000000008zAAA"}|0x36481e8a
17:40:38.0 (15714421)|STATEMENT_EXECUTE|[19]
17:40:38.0 (15721130)|HEAP_ALLOCATE|[19]|Bytes:4
17:40:38.0 (15749436)|VARIABLE_SCOPE_BEGIN|[19]|closedStatusSet|Set<String>|true|false
17:40:38.0 (15763920)|VARIABLE_ASSIGNMENT|[19]|closedStatusSet|[]|0x60a16546
17:40:38.0 (15768276)|HEAP_ALLOCATE|[20]|Bytes:56
17:40:38.0 (15776025)|HEAP_ALLOCATE|[20]|Bytes:4
17:40:38.0 (16078139)|SOQL_EXECUTE_BEGIN|[20]|Aggregations:0|SELECT MasterLabel FROM CaseStatus WHERE IsClosed = TRUE
17:40:38.0 (19097624)|SOQL_EXECUTE_END|[20]|Rows:5
17:40:38.0 (19121703)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
17:40:38.0 (19245525)|HEAP_ALLOCATE|[20]|Bytes:28
17:40:38.0 (19319409)|HEAP_ALLOCATE|[20]|Bytes:24
17:40:38.0 (19331745)|HEAP_ALLOCATE|[20]|Bytes:8
17:40:38.0 (19334782)|HEAP_ALLOCATE|[20]|Bytes:8
17:40:38.0 (19340272)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
17:40:38.0 (19370815)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x4edd7748
17:40:38.0 (19374037)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
17:40:38.0 (19402368)|VARIABLE_ASSIGNMENT|[15]|values|[{"MasterLabel":"Completed","Id":"01J1300000RFrbcEAD"},{"MasterLabel":"Closed (Known Issue)","Id":"01J1B00000SxiZxUAJ"},{"MasterLabel":"Closed (Cancelled)","Id":"01J1B00000TSegDUAT"},{"MasterLabel":"Closed","Id":"01J300000002NqZEAU"},{"MasterLabel":"Cancelled","Id":"01J30000006otNTEAY"}]|0x67fbe083
17:40:38.0 (19407255)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
17:40:38.0 (19416424)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT MasterLabel F (36 more) ..."}|0x3f56770b
17:40:38.0 (19419700)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
17:40:38.0 (19425327)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|5
17:40:38.0 (19427711)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
17:40:38.0 (19431777)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49991
17:40:38.0 (19471819)|HEAP_ALLOCATE|[20]|Bytes:28
17:40:38.0 (19491858)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19559958)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19565198)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19614448)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19619514)|VARIABLE_SCOPE_BEGIN|[20]|status|CaseStatus|true|false
17:40:38.0 (19628829)|VARIABLE_ASSIGNMENT|[20]|status|{"MasterLabel":"Completed","Id":"01J1300000RFrbcEAD"}|0x469aec35
17:40:38.0 (19633134)|STATEMENT_EXECUTE|[20]
17:40:38.0 (19634268)|STATEMENT_EXECUTE|[21]
17:40:38.0 (19700559)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (19709292)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19720297)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19722934)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19771438)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19774706)|VARIABLE_SCOPE_BEGIN|[20]|status|CaseStatus|true|false
17:40:38.0 (19783419)|VARIABLE_ASSIGNMENT|[20]|status|{"MasterLabel":"Closed (Known Issue)","Id":"01J1B00000SxiZxUAJ"}|0x7edde39d
17:40:38.0 (19786537)|STATEMENT_EXECUTE|[20]
17:40:38.0 (19787428)|STATEMENT_EXECUTE|[21]
17:40:38.0 (19793184)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (19798045)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19806829)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19809346)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19831464)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19834066)|VARIABLE_SCOPE_BEGIN|[20]|status|CaseStatus|true|false
17:40:38.0 (19841160)|VARIABLE_ASSIGNMENT|[20]|status|{"MasterLabel":"Closed (Cancelled)","Id":"01J1B00000TSegDUAT"}|0x723f3d62
17:40:38.0 (19844183)|STATEMENT_EXECUTE|[20]
17:40:38.0 (19845044)|STATEMENT_EXECUTE|[21]
17:40:38.0 (19849101)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (19852973)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19861912)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19864668)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19901901)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19904698)|VARIABLE_SCOPE_BEGIN|[20]|status|CaseStatus|true|false
17:40:38.0 (19911446)|VARIABLE_ASSIGNMENT|[20]|status|{"MasterLabel":"Closed","Id":"01J300000002NqZEAU"}|0x5440d2ac
17:40:38.0 (19914163)|STATEMENT_EXECUTE|[20]
17:40:38.0 (19915014)|STATEMENT_EXECUTE|[21]
17:40:38.0 (19918872)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (19922872)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19930714)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19933238)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19954182)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.next()
17:40:38.0 (19956500)|VARIABLE_SCOPE_BEGIN|[20]|status|CaseStatus|true|false
17:40:38.0 (19962292)|VARIABLE_ASSIGNMENT|[20]|status|{"MasterLabel":"Cancelled","Id":"01J30000006otNTEAY"}|0x452a7755
17:40:38.0 (19965194)|STATEMENT_EXECUTE|[20]
17:40:38.0 (19966023)|STATEMENT_EXECUTE|[21]
17:40:38.0 (19969567)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:40:38.0 (19973106)|METHOD_ENTRY|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19979138)|METHOD_EXIT|[20]||Database.QueryLocatorIterator.hasNext()
17:40:38.0 (19983169)|VARIABLE_ASSIGNMENT|[20]|status|null|
17:40:38.0 (20153728)|HEAP_ALLOCATE|[25]|Bytes:5
17:40:38.0 (20174427)|HEAP_ALLOCATE|[25]|Bytes:4
17:40:38.0 (20178984)|VARIABLE_SCOPE_BEGIN|[25]|updatedCase|Case|true|false
